at,am,tm,mb,ab,ca,cb,za0,za0_se,za1,za1_se,za2,za2_se,za3,za3_se,za4,za4_se,za5,za5_se,proportion_treated,init_at,init_am,init_tm,init_mb,init_ca,init_cb,true,z0_mb,z0_mb_se,z1_mb,z1_mb_se,z2_mb,z2_mb_se,z3_mb,z3_mb_se,z4_mb,z4_mb_se,z5_mb,z5_mb_se,model,_LCI,_UCI,_WT
.6479492,.9398274,.5891067,.9218819,.8780997,.3549257,.5579174,1.00462,.0082761,1.00472,.0078933,.9814676,.0080542,1.653826,.0194426,.9815611,.00768,1.562476,.0173548,.5474964,1,1,-.2,1,1,1,1,.0046202,.0082761,.0047196,.0078933,-.0185324,.0080542,.6538258,.0194426,-.0184389,.00768,.5624759,.0173548,"",-.010751,.0201903,0
.5036192,.940255,.4566858,.9081874,.8663353,.3558048,.5749583,.8879693,.00731,.8858056,.0072582,.877464,.0072194,1.099463,.009836,.8753242,.0071686,1.066022,.0093524,.1275854,1,1,-.2,.9,1,1,.9,-.0133674,.0081222,-.0157715,.0080646,-.02504,.0080215,.2216254,.0109289,-.0274175,.0079652,.1844694,.0103915,"",-.0315779,.0000349,0
.6352376,.9401295,.5775015,.8900284,.8503321,.3525318,.5903907,.7984071,.0064984,.7970339,.0062149,.7811458,.0063452,1.351709,.0165372,.7798049,.0060664,1.273425,.0144367,.631662,1,1,-.2,.8,1,1,.8,-.0019912,.008123,-.0037076,.0077686,-.0235678,.0079315,.6896364,.0206715,-.0252438,.007583,.5917817,.0180459,"",-.0189337,.0115185,0
.6223611,.939681,.5651681,.8667194,.8296673,.3557451,.611879,.7056667,.0062812,.7059608,.0059855,.6909844,.0061401,1.192958,.016858,.6912735,.0058497,1.123207,.0149209,.678849,1,1,-.2,.7,1,1,.7,.0080952,.0089732,.0085154,.0085507,-.0128794,.0087716,.7042254,.0240829,-.0124664,.0083567,.6045814,.0213156,"",-.0082438,.0252745,0
.6271812,.9395433,.569074,.835466,.8016708,.3553472,.6340701,.5918356,.005519,.5919216,.0053484,.5789712,.0053884,.8658996,.0098429,.5790523,.0052221,.8293143,.0089404,.3380306,1,1,-.2,.6,1,1,.6,-.0136073,.0091983,-.0134641,.008914,-.035048,.0089807,.443166,.0164048,-.0349129,.0087035,.3821904,.0149006,"",-.0309353,.0040071,0
.6256946,.9396921,.5685488,.7945587,.7650986,.3549731,.657258,.5035207,.0049387,.5026379,.0050362,.4930023,.0048319,.8776602,.0138573,.4921384,.0049273,.8275782,.0125273,.6670588,1,1,-.2,.5,1,1,.5,.0070413,.0098775,.0052757,.0100725,-.0139955,.0096637,.7553204,.0277145,-.0157232,.0098547,.6551564,.0250546,"",-.014466,.0250174,0
.6298208,.9387138,.5709741,.7372696,.7134523,.3577774,.6832762,.3973986,.004386,.3971566,.0043786,.3886032,.0042862,.5860819,.0075827,.3883705,.004278,.5593604,.007144,.353765,1,1,-.2,.4,1,1,.4,-.0065035,.0109651,-.0071085,.0109464,-.028492,.0107154,.4652048,.0189566,-.0290738,.0106949,.3984009,.01786,"",-.0285631,.0143461,0
.6476891,.9392722,.5882742,.6613297,.6442925,.3574188,.7063997,.3031123,.0037667,.3023785,.0037481,.2961297,.0036744,.4735404,.0069729,.2954101,.0036567,.4495626,.0064021,.467392,1,1,-.2,.3,1,1,.3,.0103742,.0125556,.0079283,.0124936,-.012901,.0122479,.5784679,.0232429,-.0152996,.012189,.4985421,.0213404,"",-.0165586,.0324152,0
.6487226,.9397298,.5901734,.5565273,.5482115,.3553274,.7227384,.1968609,.0029858,.1972176,.0029378,.1924238,.0029189,.3107596,.0048533,.1927724,.0028719,.2948627,.0045735,.4703072,1,1,-.2,.2,1,1,.2,-.0156954,.0149292,-.0139122,.0146892,-.0378811,.0145943,.5537981,.0242666,-.0361378,.0143597,.4743134,.0228676,"",-.0427026,.0148781,0
.6337982,.9391016,.5756144,.4148257,.417325,.3571198,.7270709,.0970238,.0027912,.097034,.0027893,.094937,.0027311,.1647657,.0047921,.094946,.0027292,.1549764,.004491,.6334571,1,1,-.2,.1,1,1,.1,-.0297619,.0279119,-.0296601,.0278926,-.0506297,.0273112,.6476569,.0479214,-.0505401,.0272921,.5497643,.0449104,"",-.0843286,.0250084,0
